step,time,uav0_x,uav0_y,uav0_yaw,uav0_state,uav0_min_obs_dist,uav0_path_length,uav1_x,uav1_y,uav1_yaw,uav1_state,uav1_min_obs_dist,uav1_path_length,uav2_x,uav2_y,uav2_yaw,uav2_state,uav2_min_obs_dist,uav2_path_length,coverage,min_inter_uav_dist,replan_count,collision_flag
0,0.0,5.00,5.00,0.000,explore,19.25,0.0,5.00,50.00,0.000,explore,27.29,0.0,5.00,95.00,0.000,explore,8.38,0.0,0.0472,45.00,35,0
1,0.2,5.59,5.08,0.142,explore,18.70,0.0,5.59,50.08,0.142,explore,26.70,0.0,5.55,94.76,-0.405,explore,7.84,0.0,0.0472,44.68,35,0
2,0.4,6.19,5.17,0.142,explore,18.14,0.0,6.19,50.17,0.142,explore,26.11,0.0,6.10,94.53,-0.405,explore,7.30,0.0,0.0547,44.36,35,0
3,0.6000000000000001,6.75,5.25,0.142,explore,17.62,0.0,6.75,50.25,0.142,explore,25.55,0.0,6.65,94.29,-0.405,explore,6.77,0.0,0.0577,44.04,35,0
4,0.8,7.35,5.25,0.000,explore,17.11,0.0,7.35,50.25,0.000,explore,24.98,0.0,7.09,93.87,-0.768,explore,6.18,0.0,0.0610,43.62,35,0
5,1.0,7.95,5.25,0.000,explore,16.61,0.0,7.95,50.25,0.000,explore,24.41,0.0,7.52,93.46,-0.768,explore,5.58,0.0,0.0664,43.21,35,0
6,1.2000000000000002,8.55,5.25,0.000,explore,16.11,0.0,8.55,50.25,0.000,explore,23.84,0.0,7.95,93.04,-0.768,explore,4.99,0.0,0.0692,42.79,35,0
7,1.4000000000000001,9.15,5.25,0.000,explore,15.62,0.0,9.15,50.25,0.000,explore,23.27,0.0,8.37,92.62,-0.783,explore,4.99,0.0,0.0721,42.81,35,0
8,1.6,9.75,5.25,0.000,explore,15.14,0.0,9.75,50.25,0.000,explore,22.68,0.0,8.80,92.19,-0.783,explore,4.40,0.0,0.0742,42.39,35,0
9,1.8,10.35,5.25,0.000,explore,14.66,0.0,10.35,50.25,0.000,explore,22.08,0.0,8.22,92.03,-2.862,explore,3.81,0.0,0.0770,41.97,35,0
10,2.0,10.66,5.76,1.030,explore,14.66,0.0,10.66,50.76,1.030,explore,22.08,0.0,7.65,91.86,-2.862,explore,3.81,0.0,0.0799,41.97,35,0
11,2.2,10.97,6.28,1.030,explore,14.10,0.0,10.97,51.28,1.030,explore,21.68,0.0,7.05,91.79,-3.015,explore,4.03,0.0,0.0799,41.34,35,0
12,2.4000000000000004,11.25,6.75,1.030,explore,13.55,0.0,11.25,51.75,1.030,explore,21.22,0.0,7.13,91.19,-1.442,explore,4.29,0.0,0.1017,40.72,35,0
13,2.6,11.67,7.17,0.785,explore,13.04,0.0,11.67,52.17,0.785,explore,20.80,0.0,7.21,90.60,-1.442,explore,4.29,0.0,0.1041,40.28,35,0
14,2.8000000000000003,11.37,7.69,2.101,explore,12.45,0.0,11.37,52.69,2.101,explore,20.27,0.0,7.22,90.00,-1.546,explore,4.66,0.0,0.1063,39.88,35,0
15,3.0,11.07,8.21,2.101,explore,12.45,0.0,11.07,53.21,2.101,explore,20.27,0.0,7.23,89.40,-1.546,explore,4.66,0.0,0.1090,39.88,35,0
16,3.2,10.76,8.73,2.101,explore,12.41,0.0,10.76,53.73,2.101,explore,20.42,0.0,7.24,88.80,-1.561,explore,4.21,0.0,0.1090,38.73,35,0
17,3.4000000000000004,10.43,9.23,2.158,explore,12.39,0.0,10.43,54.23,2.158,explore,20.58,0.0,7.25,88.20,-1.561,explore,3.78,0.0,0.1335,37.59,35,0
18,3.6,9.83,9.23,3.128,explore,12.40,0.0,9.83,54.23,3.128,explore,20.76,0.0,7.25,87.60,-1.569,explore,3.42,0.0,0.1363,36.44,35,0
19,3.8000000000000003,9.23,9.24,3.128,explore,12.47,0.0,9.23,54.24,3.128,explore,20.98,0.0,7.25,87.00,-1.569,explore,3.11,0.0,0.1393,35.32,35,0
20,4.0,8.63,9.25,3.138,explore,12.47,0.0,8.63,54.25,3.138,explore,20.98,0.0,7.25,86.40,-1.569,explore,3.11,0.0,0.1418,35.32,35,0
