Seed,Coverage(%),Steps,Collisions,Obs Safe(%),Min Obs(m),Inter Safe(%),Path(m),Load CV,Replan
42,90.0,301,0,74.0,0.51,100.0,440,0.036,35
77,69.2,800,0,42.9,0.51,100.0,352,0.216,561
123,56.1,800,0,41.6,0.50,100.0,270,0.204,617
200,90.3,353,0,73.3,0.54,100.0,513,0.009,42
256,90.0,367,0,68.0,0.51,100.0,526,0.018,44
314,90.1,326,0,64.4,0.50,100.0,474,0.024,37
512,90.1,344,0,67.5,0.50,100.0,511,0.021,43
666,90.0,338,0,69.2,0.50,100.0,482,0.036,40
777,90.1,329,0,67.3,0.50,100.0,477,0.017,40
999,90.1,361,0,66.7,0.51,100.0,530,0.038,43
Mean±Std,84.6±11.4,432±185,0,63.5±11.0,0.51±0.01,100.0,457,0.062,150±220
